Metric,Units,Region,Type,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19,year20,year21,year22,year23,year24,year25,year26,year27,year28,year29,year30,year31,year32,year33,year34,year35,year36,year37,year38,year39,year40
benefitsPerTree,dollars,Inland Valley (San Juaquin Valley),Large,13.0999552,26.1999104,39.29986559,52.39982079,65.49977599,70.13483833,74.76990067,79.40496301,84.04002535,88.6750877,90.01808918,91.36109067,92.70409216,94.04709365,95.39009514,96.22662573,97.06315631,97.8996869,98.73621749,99.57274808,100.1617339,100.7507197,101.3397055,101.9286914,102.5176772,103.3997333,104.2817893,105.1638454,106.0459014,106.9279575,107.1783476,107.4287377,107.6791278,107.9295179,108.179908,108.6550802,109.1302523,109.6054245,110.0805966,110.5557687
carbonSequestration,pounds,Southwest desert,Small,8.8,17.6,26.4,35.2,44,50.6,57.2,63.8,70.4,77,87.4,97.8,108.2,118.6,129,140.6,152.2,163.8,175.4,187,190.4,193.8,197.2,200.6,204,207,210,213,216,219,217.2,215.4,213.6,211.8,210,208.4,206.8,205.2,203.6,202
carbonSequestration,pounds,Southwest desert,Med,11.4,22.8,34.2,45.6,57,74.6,92.2,109.8,127.4,145,161.8,178.6,195.4,212.2,229,244.4,259.8,275.2,290.6,306,320.8,335.6,350.4,365.2,380,393.6,407.2,420.8,434.4,448,454.4,460.8,467.2,473.6,480,484.6,489.2,493.8,498.4,503
carbonSequestration,pounds,Southwest desert,Large,4.8,9.6,14.4,19.2,24,29.8,35.6,41.4,47.2,53,64.2,75.4,86.6,97.8,109,125.6,142.2,158.8,175.4,192,215.2,238.4,261.6,284.8,308,336.2,364.4,392.6,420.8,449,456.6,464.2,471.8,479.4,487,492.2,497.4,502.6,507.8,513
carbonSequestration,pounds,Southwest desert,Conifer,5.2,10.4,15.6,20.8,26,34.2,42.4,50.6,58.8,67,85.2,103.4,121.6,139.8,158,164.6,171.2,177.8,184.4,191,206.6,222.2,237.8,253.4,269,282.6,296.2,309.8,323.4,337,344,351,358,365,372,364.6,357.2,349.8,342.4,335
carbonSequestration,pounds,Inland Empire,Small,0.6,1.2,1.8,2.4,3,3.4,3.8,4.2,4.6,5,6,7,8,9,10,11.6,13.2,14.8,16.4,18,20,22,24,26,28,29.2,30.4,31.6,32.8,34,35.8,37.6,39.4,41.2,43,45,47,49,51,53
carbonSequestration,pounds,Inland Empire,Med,9.4,18.8,28.2,37.6,47,61.2,75.4,89.6,103.8,118,130,142,154,166,178,185,192,199,206,213,214.6,216.2,217.8,219.4,221,217.4,213.8,210.2,206.6,203,195.4,187.8,180.2,172.6,165,154.6,144.2,133.8,123.4,113
carbonSequestration,pounds,Inland Empire,Large,2.8,5.6,8.4,11.2,14,34,54,74,94,114,135.2,156.4,177.6,198.8,220,235.8,251.6,267.4,283.2,299,309.6,320.2,330.8,341.4,352,358.8,365.6,372.4,379.2,386,389.6,393.2,396.8,400.4,404,405.6,407.2,408.8,410.4,412
carbonSequestration,pounds,Northern California Coast,Small,2.6,5.2,7.8,10.4,13,15.6,18.2,20.8,23.4,26,29.4,32.8,36.2,39.6,43,47.8,52.6,57.4,62.2,67,72,77,82,87,92,96.8,101.6,106.4,111.2,116,120.6,125.2,129.8,134.4,139,143.2,147.4,151.6,155.8,160
carbonSequestration,pounds,Northern California Coast,Med,4.6,9.2,13.8,18.4,23,28.8,34.6,40.4,46.2,52,58.4,64.8,71.2,77.6,84,90.4,96.8,103.2,109.6,116,122.6,129.2,135.8,142.4,149,155.6,162.2,168.8,175.4,182,188.8,195.6,202.4,209.2,216,222.8,229.6,236.4,243.2,250
